Roll,Name,Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6
74,Student_74,Present,Absent,Absent,Absent,Absent,Absent
74,Student_74,Present,Absent,Absent,Absent,Absent,Absent
74,Student_74,Present,Absent,Absent,Absent,Absent,Absent
74,Student_74,Present,Absent,Absent,Absent,Absent,Absent
74,Student_74,Present,Absent,Absent,Absent,Absent,Absent
1,Student_1,Present,Absent,Absent,Absent,Absent,Absent
74,Student_74,Present,Absent,Absent,Absent,Absent,Absent
